Any,Codi_Districte,Nom_Districte,Codi_Barri,Desc_Barri,Cilindrada_motos,Nombre_motos
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",de 201 a 250 cc,172
2018,2,Eixample,5,el Fort Pienc,de 201 a 250 cc,305
2018,2,Eixample,6,la Sagrada Família,de 201 a 250 cc,475
2018,2,Eixample,7,la Dreta de l'Eixample,de 201 a 250 cc,651
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,de 201 a 250 cc,551
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,de 201 a 250 cc,650
2018,2,Eixample,10,Sant Antoni,de 201 a 250 cc,367
2018,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,de 201 a 250 cc,302
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermelll - AEI Zona Franca,de 201 a 250 cc,40
2018,3,Sants-Montjuïc,13,la Marina de Port,de 201 a 250 cc,262
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,de 201 a 250 cc,107
2018,3,Sants-Montjuïc,15,Hostafrancs,de 201 a 250 cc,112
2018,3,Sants-Montjuïc,16,la Bordeta,de 201 a 250 cc,192
2018,3,Sants-Montjuïc,17,Sants - Badal,de 201 a 250 cc,216
2018,3,Sants-Montjuïc,18,Sants,de 201 a 250 cc,395
2018,4,Les Corts,19,les Corts,de 201 a 250 cc,622
2018,4,Les Corts,20,la Maternitat i Sant Ramon,de 201 a 250 cc,300
2018,4,Les Corts,21,Pedralbes,de 201 a 250 cc,241
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",de 201 a 250 cc,96
2018,5,Sarrià-Sant Gervasi,23,Sarrià,de 201 a 250 cc,469
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,de 201 a 250 cc,368
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,de 201 a 250 cc,449
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,de 201 a 250 cc,990
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,de 201 a 250 cc,470
2018,6,Gràcia,28,Vallcarca i els Penitents,de 201 a 250 cc,191
2018,6,Gràcia,29,el Coll,de 201 a 250 cc,89
2018,6,Gràcia,30,la Salut,de 201 a 250 cc,149
2018,6,Gràcia,31,la Vila de Gràcia,de 201 a 250 cc,541
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,de 201 a 250 cc,410
2018,7,Horta-Guinardó,33,el Baix Guinardó,de 201 a 250 cc,266
2018,7,Horta-Guinardó,34,Can Baró,de 201 a 250 cc,123
2018,7,Horta-Guinardó,35,el Guinardó,de 201 a 250 cc,390
2018,7,Horta-Guinardó,36,la Font d'en Fargues,de 201 a 250 cc,141
2018,7,Horta-Guinardó,37,el Carmel,de 201 a 250 cc,275
2018,7,Horta-Guinardó,38,la Teixonera,de 201 a 250 cc,135
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,de 201 a 250 cc,67
2018,7,Horta-Guinardó,40,Montbau,de 201 a 250 cc,42
2018,7,Horta-Guinardó,41,la Vall d'Hebron,de 201 a 250 cc,42
2018,7,Horta-Guinardó,42,la Clota,de 201 a 250 cc,4
2018,7,Horta-Guinardó,43,Horta,de 201 a 250 cc,290
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,de 201 a 250 cc,217
2018,8,Nou Barris,45,Porta,de 201 a 250 cc,147
2018,8,Nou Barris,46,el Turó de la Peira,de 201 a 250 cc,91
2018,8,Nou Barris,47,Can Peguera,de 201 a 250 cc,11
2018,8,Nou Barris,48,la Guineueta,de 201 a 250 cc,124
2018,8,Nou Barris,49,Canyelles,de 201 a 250 cc,39
2018,8,Nou Barris,50,les Roquetes,de 201 a 250 cc,66
2018,8,Nou Barris,51,Verdun,de 201 a 250 cc,70
2018,8,Nou Barris,52,la Prosperitat,de 201 a 250 cc,171
2018,8,Nou Barris,53,la Trinitat Nova,de 201 a 250 cc,35
2018,8,Nou Barris,54,Torre Baró,de 201 a 250 cc,17
2018,8,Nou Barris,55,Ciutat Meridiana,de 201 a 250 cc,33
2018,8,Nou Barris,56,Vallbona,de 201 a 250 cc,14
2018,9,Sant Andreu,57,la Trinitat Vella,de 201 a 250 cc,62
2018,9,Sant Andreu,58,Baró de Viver,de 201 a 250 cc,10
2018,9,Sant Andreu,59,el Bon Pastor,de 201 a 250 cc,77
2018,9,Sant Andreu,60,Sant Andreu,de 201 a 250 cc,433
2018,9,Sant Andreu,61,la Sagrera,de 201 a 250 cc,184
2018,9,Sant Andreu,62,el Congrés i els Indians,de 201 a 250 cc,108
2018,9,Sant Andreu,63,Navas,de 201 a 250 cc,185
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,de 201 a 250 cc,319
2018,10,Sant Martí,65,el Clot,de 201 a 250 cc,210
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,de 201 a 250 cc,142
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,de 201 a 250 cc,117
2018,10,Sant Martí,68,el Poblenou,de 201 a 250 cc,280
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,de 201 a 250 cc,104
2018,10,Sant Martí,70,el Besòs i el Maresme,de 201 a 250 cc,88
2018,10,Sant Martí,71,Provençals del Poblenou,de 201 a 250 cc,161
2018,10,Sant Martí,72,Sant Martí de Provençals,de 201 a 250 cc,219
2018,10,Sant Martí,73,la Verneda i la Pau,de 201 a 250 cc,214
2018,99,No consta,99,No consta,de 201 a 250 cc,2
2018,1,Ciutat Vella,1,el Raval,de 251 a 300 cc,104
2018,1,Ciutat Vella,2,el Barri Gòtic,de 251 a 300 cc,63
2018,1,Ciutat Vella,3,la Barceloneta,de 251 a 300 cc,63
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",de 251 a 300 cc,99
2018,2,Eixample,5,el Fort Pienc,de 251 a 300 cc,190
2018,2,Eixample,6,la Sagrada Família,de 251 a 300 cc,295
2018,2,Eixample,7,la Dreta de l'Eixample,de 251 a 300 cc,469
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,de 251 a 300 cc,412
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,de 251 a 300 cc,420
2018,2,Eixample,10,Sant Antoni,de 251 a 300 cc,208
2018,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,de 251 a 300 cc,176
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermelll - AEI Zona Franca,de 251 a 300 cc,28
2018,3,Sants-Montjuïc,13,la Marina de Port,de 251 a 300 cc,147
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,de 251 a 300 cc,52
2018,3,Sants-Montjuïc,15,Hostafrancs,de 251 a 300 cc,78
2018,3,Sants-Montjuïc,16,la Bordeta,de 251 a 300 cc,93
2018,3,Sants-Montjuïc,17,Sants - Badal,de 251 a 300 cc,138
2018,3,Sants-Montjuïc,18,Sants,de 251 a 300 cc,265
2018,4,Les Corts,19,les Corts,de 251 a 300 cc,449
2018,4,Les Corts,20,la Maternitat i Sant Ramon,de 251 a 300 cc,198
2018,4,Les Corts,21,Pedralbes,de 251 a 300 cc,190
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",de 251 a 300 cc,73
2018,5,Sarrià-Sant Gervasi,23,Sarrià,de 251 a 300 cc,396
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,de 251 a 300 cc,300
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,de 251 a 300 cc,417
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,de 251 a 300 cc,840
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,de 251 a 300 cc,349
2018,6,Gràcia,28,Vallcarca i els Penitents,de 251 a 300 cc,163
2018,6,Gràcia,29,el Coll,de 251 a 300 cc,68
2018,6,Gràcia,30,la Salut,de 251 a 300 cc,122
2018,6,Gràcia,31,la Vila de Gràcia,de 251 a 300 cc,354
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,de 251 a 300 cc,277
2018,7,Horta-Guinardó,33,el Baix Guinardó,de 251 a 300 cc,178
2018,7,Horta-Guinardó,34,Can Baró,de 251 a 300 cc,86
2018,7,Horta-Guinardó,35,el Guinardó,de 251 a 300 cc,255
2018,7,Horta-Guinardó,36,la Font d'en Fargues,de 251 a 300 cc,119
2018,7,Horta-Guinardó,37,el Carmel,de 251 a 300 cc,223
2018,7,Horta-Guinardó,38,la Teixonera,de 251 a 300 cc,95
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,de 251 a 300 cc,51
2018,7,Horta-Guinardó,40,Montbau,de 251 a 300 cc,31
2018,7,Horta-Guinardó,41,la Vall d'Hebron,de 251 a 300 cc,41
2018,7,Horta-Guinardó,42,la Clota,de 251 a 300 cc,4
2018,7,Horta-Guinardó,43,Horta,de 251 a 300 cc,191
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,de 251 a 300 cc,124
2018,8,Nou Barris,45,Porta,de 251 a 300 cc,87
2018,8,Nou Barris,46,el Turó de la Peira,de 251 a 300 cc,61
2018,8,Nou Barris,47,Can Peguera,de 251 a 300 cc,12
2018,8,Nou Barris,48,la Guineueta,de 251 a 300 cc,75
2018,8,Nou Barris,49,Canyelles,de 251 a 300 cc,43
2018,8,Nou Barris,50,les Roquetes,de 251 a 300 cc,38
2018,8,Nou Barris,51,Verdun,de 251 a 300 cc,41
2018,8,Nou Barris,52,la Prosperitat,de 251 a 300 cc,118
2018,8,Nou Barris,53,la Trinitat Nova,de 251 a 300 cc,26
2018,8,Nou Barris,54,Torre Baró,de 251 a 300 cc,5
2018,8,Nou Barris,55,Ciutat Meridiana,de 251 a 300 cc,22
2018,8,Nou Barris,56,Vallbona,de 251 a 300 cc,2
2018,9,Sant Andreu,57,la Trinitat Vella,de 251 a 300 cc,30
2018,9,Sant Andreu,58,Baró de Viver,de 251 a 300 cc,7
2018,9,Sant Andreu,59,el Bon Pastor,de 251 a 300 cc,51
2018,9,Sant Andreu,60,Sant Andreu,de 251 a 300 cc,310
2018,9,Sant Andreu,61,la Sagrera,de 251 a 300 cc,140
2018,9,Sant Andreu,62,el Congrés i els Indians,de 251 a 300 cc,64
2018,9,Sant Andreu,63,Navas,de 251 a 300 cc,124
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,de 251 a 300 cc,201
2018,10,Sant Martí,65,el Clot,de 251 a 300 cc,131
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,de 251 a 300 cc,91
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,de 251 a 300 cc,102
2018,10,Sant Martí,68,el Poblenou,de 251 a 300 cc,199
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,de 251 a 300 cc,103
2018,10,Sant Martí,70,el Besòs i el Maresme,de 251 a 300 cc,51
2018,10,Sant Martí,71,Provençals del Poblenou,de 251 a 300 cc,110
2018,10,Sant Martí,72,Sant Martí de Provençals,de 251 a 300 cc,135
2018,10,Sant Martí,73,la Verneda i la Pau,de 251 a 300 cc,119
2018,99,No consta,99,No consta,de 251 a 300 cc,2
2018,1,Ciutat Vella,1,el Raval,de 301 a 500 cc,191
2018,1,Ciutat Vella,2,el Barri Gòtic,de 301 a 500 cc,175
2018,1,Ciutat Vella,3,la Barceloneta,de 301 a 500 cc,104
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",de 301 a 500 cc,153
2018,2,Eixample,5,el Fort Pienc,de 301 a 500 cc,276
2018,2,Eixample,6,la Sagrada Família,de 301 a 500 cc,437
2018,2,Eixample,7,la Dreta de l'Eixample,de 301 a 500 cc,564
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,de 301 a 500 cc,474
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,de 301 a 500 cc,557
2018,2,Eixample,10,Sant Antoni,de 301 a 500 cc,313
2018,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,de 301 a 500 cc,273
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermelll - AEI Zona Franca,de 301 a 500 cc,26
2018,3,Sants-Montjuïc,13,la Marina de Port,de 301 a 500 cc,256
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,de 301 a 500 cc,98
2018,3,Sants-Montjuïc,15,Hostafrancs,de 301 a 500 cc,130
2018,3,Sants-Montjuïc,16,la Bordeta,de 301 a 500 cc,141
2018,3,Sants-Montjuïc,17,Sants - Badal,de 301 a 500 cc,185
2018,3,Sants-Montjuïc,18,Sants,de 301 a 500 cc,306
2018,4,Les Corts,19,les Corts,de 301 a 500 cc,520
2018,4,Les Corts,20,la Maternitat i Sant Ramon,de 301 a 500 cc,250
2018,4,Les Corts,21,Pedralbes,de 301 a 500 cc,208
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",de 301 a 500 cc,62
2018,5,Sarrià-Sant Gervasi,23,Sarrià,de 301 a 500 cc,376
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,de 301 a 500 cc,292
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,de 301 a 500 cc,418
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,de 301 a 500 cc,857
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,de 301 a 500 cc,451
2018,6,Gràcia,28,Vallcarca i els Penitents,de 301 a 500 cc,186
2018,6,Gràcia,29,el Coll,de 301 a 500 cc,86
2018,6,Gràcia,30,la Salut,de 301 a 500 cc,129
2018,6,Gràcia,31,la Vila de Gràcia,de 301 a 500 cc,429
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,de 301 a 500 cc,307
2018,7,Horta-Guinardó,33,el Baix Guinardó,de 301 a 500 cc,216
2018,7,Horta-Guinardó,34,Can Baró,de 301 a 500 cc,82
2018,7,Horta-Guinardó,35,el Guinardó,de 301 a 500 cc,290
2018,7,Horta-Guinardó,36,la Font d'en Fargues,de 301 a 500 cc,108
2018,7,Horta-Guinardó,37,el Carmel,de 301 a 500 cc,264
2018,7,Horta-Guinardó,38,la Teixonera,de 301 a 500 cc,108
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,de 301 a 500 cc,71
2018,7,Horta-Guinardó,40,Montbau,de 301 a 500 cc,43
2018,7,Horta-Guinardó,41,la Vall d'Hebron,de 301 a 500 cc,37
2018,7,Horta-Guinardó,42,la Clota,de 301 a 500 cc,5
2018,7,Horta-Guinardó,43,Horta,de 301 a 500 cc,265
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,de 301 a 500 cc,183
2018,8,Nou Barris,45,Porta,de 301 a 500 cc,155
2018,8,Nou Barris,46,el Turó de la Peira,de 301 a 500 cc,95
2018,8,Nou Barris,47,Can Peguera,de 301 a 500 cc,14
2018,8,Nou Barris,48,la Guineueta,de 301 a 500 cc,121
2018,8,Nou Barris,49,Canyelles,de 301 a 500 cc,63
2018,8,Nou Barris,50,les Roquetes,de 301 a 500 cc,85
2018,8,Nou Barris,51,Verdun,de 301 a 500 cc,69
2018,8,Nou Barris,52,la Prosperitat,de 301 a 500 cc,149
2018,8,Nou Barris,53,la Trinitat Nova,de 301 a 500 cc,31
2018,8,Nou Barris,54,Torre Baró,de 301 a 500 cc,20
2018,8,Nou Barris,55,Ciutat Meridiana,de 301 a 500 cc,30
2018,8,Nou Barris,56,Vallbona,de 301 a 500 cc,9
2018,9,Sant Andreu,57,la Trinitat Vella,de 301 a 500 cc,50
2018,9,Sant Andreu,58,Baró de Viver,de 301 a 500 cc,19
2018,9,Sant Andreu,59,el Bon Pastor,de 301 a 500 cc,75
2018,9,Sant Andreu,60,Sant Andreu,de 301 a 500 cc,469
2018,9,Sant Andreu,61,la Sagrera,de 301 a 500 cc,190
2018,9,Sant Andreu,62,el Congrés i els Indians,de 301 a 500 cc,73
2018,9,Sant Andreu,63,Navas,de 301 a 500 cc,191
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,de 301 a 500 cc,296
2018,10,Sant Martí,65,el Clot,de 301 a 500 cc,206
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,de 301 a 500 cc,130
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,de 301 a 500 cc,81
2018,10,Sant Martí,68,el Poblenou,de 301 a 500 cc,256
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,de 301 a 500 cc,108
2018,10,Sant Martí,70,el Besòs i el Maresme,de 301 a 500 cc,82
2018,10,Sant Martí,71,Provençals del Poblenou,de 301 a 500 cc,145
2018,10,Sant Martí,72,Sant Martí de Provençals,de 301 a 500 cc,191
2018,10,Sant Martí,73,la Verneda i la Pau,de 301 a 500 cc,166
2018,99,No consta,99,No consta,de 301 a 500 cc,6
2018,1,Ciutat Vella,1,el Raval,de 501 a 750 cc,363
2018,1,Ciutat Vella,2,el Barri Gòtic,de 501 a 750 cc,411
