Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Antiguitat,Nombre_motos
2017,8,Nou Barris,45,Porta,4 anys,94
2017,8,Nou Barris,46,el Turó de la Peira,4 anys,39
2017,8,Nou Barris,47,Can Peguera,4 anys,3
2017,8,Nou Barris,48,la Guineueta,4 anys,59
2017,8,Nou Barris,49,Canyelles,4 anys,31
2017,8,Nou Barris,50,les Roquetes,4 anys,42
2017,8,Nou Barris,51,Verdun,4 anys,43
2017,8,Nou Barris,52,la Prosperitat,4 anys,93
2017,8,Nou Barris,53,la Trinitat Nova,4 anys,21
2017,8,Nou Barris,54,Torre Baró,4 anys,10
2017,8,Nou Barris,55,Ciutat Meridiana,4 anys,12
2017,8,Nou Barris,56,Vallbona,4 anys,3
2017,9,Sant Andreu,57,la Trinitat Vella,4 anys,27
2017,9,Sant Andreu,58,Baró de Viver,4 anys,5
2017,9,Sant Andreu,59,el Bon Pastor,4 anys,51
2017,9,Sant Andreu,60,Sant Andreu,4 anys,275
2017,9,Sant Andreu,61,la Sagrera,4 anys,102
2017,9,Sant Andreu,62,el Congrés i els Indians,4 anys,53
2017,9,Sant Andreu,63,Navas,4 anys,108
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,4 anys,190
2017,10,Sant Martí,65,el Clot,4 anys,106
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,4 anys,90
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,4 anys,69
2017,10,Sant Martí,68,el Poblenou,4 anys,159
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,4 anys,76
2017,10,Sant Martí,70,el Besòs i el Maresme,4 anys,52
2017,10,Sant Martí,71,Provençals del Poblenou,4 anys,137
2017,10,Sant Martí,72,Sant Martí de Provençals,4 anys,106
2017,10,Sant Martí,73,la Verneda i la Pau,4 anys,98
2017,99,No consta,99,No consta,4 anys,7
2017,1,Ciutat Vella,1,el Raval,5 anys,134
2017,1,Ciutat Vella,2,el Barri Gòtic,5 anys,252
2017,1,Ciutat Vella,3,la Barceloneta,5 anys,71
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5 anys,98
2017,2,Eixample,5,el Fort Pienc,5 anys,183
2017,2,Eixample,6,la Sagrada Família,5 anys,259
2017,2,Eixample,7,la Dreta de l'Eixample,5 anys,308
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,5 anys,299
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,5 anys,328
2017,2,Eixample,10,Sant Antoni,5 anys,179
2017,3,Sants-Montjuïc,11,el Poble Sec,5 anys,161
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,5 anys,17
2017,3,Sants-Montjuïc,13,la Marina de Port,5 anys,152
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,5 anys,47
2017,3,Sants-Montjuïc,15,Hostafrancs,5 anys,69
2017,3,Sants-Montjuïc,16,la Bordeta,5 anys,84
2017,3,Sants-Montjuïc,17,Sants - Badal,5 anys,115
2017,3,Sants-Montjuïc,18,Sants,5 anys,205
2017,4,Les Corts,19,les Corts,5 anys,307
2017,4,Les Corts,20,la Maternitat i Sant Ramon,5 anys,138
2017,4,Les Corts,21,Pedralbes,5 anys,112
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",5 anys,33
2017,5,Sarrià-Sant Gervasi,23,Sarrià,5 anys,238
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,5 anys,170
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,5 anys,238
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,5 anys,539
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,5 anys,267
2017,6,Gràcia,28,Vallcarca i els Penitents,5 anys,118
2017,6,Gràcia,29,el Coll,5 anys,55
2017,6,Gràcia,30,la Salut,5 anys,87
2017,6,Gràcia,31,la Vila de Gràcia,5 anys,286
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,5 anys,194
2017,7,Horta-Guinardó,33,el Baix Guinardó,5 anys,152
2017,7,Horta-Guinardó,34,Can Baró,5 anys,58
