Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Tipus_Vehicles,Desc_tipus_propietari,Nombre
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,Turismes,Subjecte Físic,241
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,Motos,Subjecte Jurídic,24
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,Motos,Subjecte Físic,162
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,Turismes,Subjecte Jurídic,44
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,Turismes,Subjecte Físic,243
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,Motos,Subjecte Jurídic,8
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,Motos,Subjecte Físic,145
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,Turismes,Subjecte Jurídic,18
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,Turismes,Subjecte Físic,289
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,Motos,Subjecte Jurídic,12
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,Motos,Subjecte Físic,152
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,Turismes,Subjecte Jurídic,37
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,Turismes,Subjecte Físic,204
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,Motos,Subjecte Jurídic,14
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,Motos,Subjecte Físic,132
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,Turismes,Subjecte Jurídic,15
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,Turismes,Subjecte Físic,190
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,Motos,Subjecte Jurídic,3
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,Motos,Subjecte Físic,144
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,Turismes,Subjecte Jurídic,17
