Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipus_propietari,Nombre_turismes
2013,7,Horta-Guinardó,41,la Vall d'Hebron,Persona  jurídica,147
2013,7,Horta-Guinardó,42,la Clota,Persona  jurídica,25
2013,7,Horta-Guinardó,43,Horta,Persona  jurídica,362
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Persona  jurídica,456
2013,8,Nou Barris,45,Porta,Persona  jurídica,547
2013,8,Nou Barris,46,el Turó de la Peira,Persona  jurídica,62
2013,8,Nou Barris,47,Can Peguera,Persona  jurídica,10
2013,8,Nou Barris,48,la Guineueta,Persona  jurídica,179
2013,8,Nou Barris,49,Canyelles,Persona  jurídica,35
2013,8,Nou Barris,50,les Roquetes,Persona  jurídica,113
2013,8,Nou Barris,51,Verdun,Persona  jurídica,75
2013,8,Nou Barris,52,la Prosperitat,Persona  jurídica,275
2013,8,Nou Barris,53,la Trinitat Nova,Persona  jurídica,29
2013,8,Nou Barris,54,Torre Baró,Persona  jurídica,13
2013,8,Nou Barris,55,Ciutat Meridiana,Persona  jurídica,25
2013,8,Nou Barris,56,Vallbona,Persona  jurídica,4
2013,9,Sant Andreu,57,la Trinitat Vella,Persona  jurídica,76
2013,9,Sant Andreu,58,Baró de Viver,Persona  jurídica,12
2013,9,Sant Andreu,59,el Bon Pastor,Persona  jurídica,1324
2013,9,Sant Andreu,60,Sant Andreu,Persona  jurídica,946
2013,9,Sant Andreu,61,la Sagrera,Persona  jurídica,594
2013,9,Sant Andreu,62,el Congrés i els Indians,Persona  jurídica,197
2013,9,Sant Andreu,63,Navas,Persona  jurídica,658
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Persona  jurídica,684
2013,10,Sant Martí,65,el Clot,Persona  jurídica,383
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Persona  jurídica,2138
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,Persona  jurídica,571
2013,10,Sant Martí,68,el Poblenou,Persona  jurídica,711
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Persona  jurídica,274
2013,10,Sant Martí,70,el Besòs i el Maresme,Persona  jurídica,238
2013,10,Sant Martí,71,Provençals del Poblenou,Persona  jurídica,686
2013,10,Sant Martí,72,Sant Martí de Provençals,Persona  jurídica,680
2013,10,Sant Martí,73,la Verneda i la Pau,Persona  jurídica,366
2013,99,No consta,99,No consta,Persona  jurídica,724
2013,1,Ciutat Vella,1,el Raval,Altres situacions,5
2013,1,Ciutat Vella,2,el Barri Gòtic,Altres situacions,0
2013,1,Ciutat Vella,3,la Barceloneta,Altres situacions,0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Altres situacions,2
2013,2,Eixample,5,el Fort Pienc,Altres situacions,4
2013,2,Eixample,6,la Sagrada Família,Altres situacions,1
2013,2,Eixample,7,la Dreta de l'Eixample,Altres situacions,5
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Altres situacions,4
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Altres situacions,3
2013,2,Eixample,10,Sant Antoni,Altres situacions,2
2013,3,Sants-Montjuïc,11,el Poble Sec,Altres situacions,0
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Altres situacions,0
2013,3,Sants-Montjuïc,13,la Marina de Port,Altres situacions,1
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Altres situacions,0
2013,3,Sants-Montjuïc,15,Hostafrancs,Altres situacions,1
2013,3,Sants-Montjuïc,16,la Bordeta,Altres situacions,0
2013,3,Sants-Montjuïc,17,Sants - Badal,Altres situacions,2
2013,3,Sants-Montjuïc,18,Sants,Altres situacions,1
2013,4,Les Corts,19,les Corts,Altres situacions,8
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Altres situacions,2
2013,4,Les Corts,21,Pedralbes,Altres situacions,4
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Altres situacions,0
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Altres situacions,2
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Altres situacions,1
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Altres situacions,1
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Altres situacions,9
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Altres situacions,3
2013,6,Gràcia,28,Vallcarca i els Penitents,Altres situacions,0
2013,6,Gràcia,29,el Coll,Altres situacions,0
2013,6,Gràcia,30,la Salut,Altres situacions,0
2013,6,Gràcia,31,la Vila de Gràcia,Altres situacions,3
