Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipologia_parc,Nombre_vehicles
2013,3,Sants-Montjuïc,11,el Poble Sec,Ciclomotors,1568
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Ciclomotors,105
2013,3,Sants-Montjuïc,13,la Marina de Port,Ciclomotors,1146
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Ciclomotors,448
2013,3,Sants-Montjuïc,15,Hostafrancs,Ciclomotors,596
2013,3,Sants-Montjuïc,16,la Bordeta,Ciclomotors,712
2013,3,Sants-Montjuïc,17,Sants - Badal,Ciclomotors,949
2013,3,Sants-Montjuïc,18,Sants,Ciclomotors,1594
2013,4,Les Corts,19,les Corts,Ciclomotors,1897
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Ciclomotors,972
2013,4,Les Corts,21,Pedralbes,Ciclomotors,529
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Ciclomotors,168
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Ciclomotors,963
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Ciclomotors,713
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Ciclomotors,1200
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Ciclomotors,2168
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Ciclomotors,1326
2013,6,Gràcia,28,Vallcarca i els Penitents,Ciclomotors,700
2013,6,Gràcia,29,el Coll,Ciclomotors,334
2013,6,Gràcia,30,la Salut,Ciclomotors,644
2013,6,Gràcia,31,la Vila de Gràcia,Ciclomotors,2080
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Ciclomotors,1497
2013,7,Horta-Guinardó,33,el Baix Guinardó,Ciclomotors,1130
2013,7,Horta-Guinardó,34,Can Baró,Ciclomotors,561
2013,7,Horta-Guinardó,35,el Guinardó,Ciclomotors,1385
2013,7,Horta-Guinardó,36,la Font d'en Fargues,Ciclomotors,435
2013,7,Horta-Guinardó,37,el Carmel,Ciclomotors,1618
2013,7,Horta-Guinardó,38,la Teixonera,Ciclomotors,539
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,Ciclomotors,274
2013,7,Horta-Guinardó,40,Montbau,Ciclomotors,123
2013,7,Horta-Guinardó,41,la Vall d'Hebron,Ciclomotors,158
2013,7,Horta-Guinardó,42,la Clota,Ciclomotors,30
2013,7,Horta-Guinardó,43,Horta,Ciclomotors,924
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Ciclomotors,813
2013,8,Nou Barris,45,Porta,Ciclomotors,727
2013,8,Nou Barris,46,el Turó de la Peira,Ciclomotors,512
2013,8,Nou Barris,47,Can Peguera,Ciclomotors,135
2013,8,Nou Barris,48,la Guineueta,Ciclomotors,438
2013,8,Nou Barris,49,Canyelles,Ciclomotors,276
2013,8,Nou Barris,50,les Roquetes,Ciclomotors,539
2013,8,Nou Barris,51,Verdun,Ciclomotors,366
2013,8,Nou Barris,52,la Prosperitat,Ciclomotors,816
2013,8,Nou Barris,53,la Trinitat Nova,Ciclomotors,286
2013,8,Nou Barris,54,Torre Baró,Ciclomotors,141
2013,8,Nou Barris,55,Ciutat Meridiana,Ciclomotors,289
2013,8,Nou Barris,56,Vallbona,Ciclomotors,68
2013,9,Sant Andreu,57,la Trinitat Vella,Ciclomotors,368
2013,9,Sant Andreu,58,Baró de Viver,Ciclomotors,89
2013,9,Sant Andreu,59,el Bon Pastor,Ciclomotors,365
2013,9,Sant Andreu,60,Sant Andreu,Ciclomotors,1753
2013,9,Sant Andreu,61,la Sagrera,Ciclomotors,1016
2013,9,Sant Andreu,62,el Congrés i els Indians,Ciclomotors,441
2013,9,Sant Andreu,63,Navas,Ciclomotors,782
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Ciclomotors,1431
2013,10,Sant Martí,65,el Clot,Ciclomotors,1006
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Ciclomotors,581
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,Ciclomotors,316
2013,10,Sant Martí,68,el Poblenou,Ciclomotors,1020
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Ciclomotors,249
2013,10,Sant Martí,70,el Besòs i el Maresme,Ciclomotors,721
2013,10,Sant Martí,71,Provençals del Poblenou,Ciclomotors,684
2013,10,Sant Martí,72,Sant Martí de Provençals,Ciclomotors,774
2013,10,Sant Martí,73,la Verneda i la Pau,Ciclomotors,1019
2013,99,No consta,99,No consta,Ciclomotors,1000
2013,1,Ciutat Vella,1,el Raval,Furgonetes,835
2013,1,Ciutat Vella,2,el Barri Gòtic,Furgonetes,1196
2013,1,Ciutat Vella,3,la Barceloneta,Furgonetes,659
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Furgonetes,473
2013,2,Eixample,5,el Fort Pienc,Furgonetes,767
2013,2,Eixample,6,la Sagrada Família,Furgonetes,977
2013,2,Eixample,7,la Dreta de l'Eixample,Furgonetes,1798
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Furgonetes,1228
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Furgonetes,2328
2013,2,Eixample,10,Sant Antoni,Furgonetes,838
2013,3,Sants-Montjuïc,11,el Poble Sec,Furgonetes,966
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Furgonetes,865
2013,3,Sants-Montjuïc,13,la Marina de Port,Furgonetes,649
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Furgonetes,766
2013,3,Sants-Montjuïc,15,Hostafrancs,Furgonetes,365
2013,3,Sants-Montjuïc,16,la Bordeta,Furgonetes,488
2013,3,Sants-Montjuïc,17,Sants - Badal,Furgonetes,515
2013,3,Sants-Montjuïc,18,Sants,Furgonetes,880
2013,4,Les Corts,19,les Corts,Furgonetes,1261
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Furgonetes,600
2013,4,Les Corts,21,Pedralbes,Furgonetes,277
