Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Cilindrada_motos,Nombre_motos
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,201 a 250 cc,435
2013,7,Horta-Guinardó,33,el Baix Guinardó,201 a 250 cc,307
2013,7,Horta-Guinardó,34,Can Baró,201 a 250 cc,121
2013,7,Horta-Guinardó,35,el Guinardó,201 a 250 cc,384
2013,7,Horta-Guinardó,36,la Font d'en Fargues,201 a 250 cc,132
2013,7,Horta-Guinardó,37,el Carmel,201 a 250 cc,293
2013,7,Horta-Guinardó,38,la Teixonera,201 a 250 cc,122
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,201 a 250 cc,67
2013,7,Horta-Guinardó,40,Montbau,201 a 250 cc,46
2013,7,Horta-Guinardó,41,la Vall d'Hebron,201 a 250 cc,50
2013,7,Horta-Guinardó,42,la Clota,201 a 250 cc,4
2013,7,Horta-Guinardó,43,Horta,201 a 250 cc,304
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,201 a 250 cc,226
2013,8,Nou Barris,45,Porta,201 a 250 cc,154
2013,8,Nou Barris,46,el Turó de la Peira,201 a 250 cc,93
2013,8,Nou Barris,47,Can Peguera,201 a 250 cc,13
2013,8,Nou Barris,48,la Guineueta,201 a 250 cc,142
2013,8,Nou Barris,49,Canyelles,201 a 250 cc,45
2013,8,Nou Barris,50,les Roquetes,201 a 250 cc,72
2013,8,Nou Barris,51,Verdun,201 a 250 cc,73
2013,8,Nou Barris,52,la Prosperitat,201 a 250 cc,178
2013,8,Nou Barris,53,la Trinitat Nova,201 a 250 cc,38
2013,8,Nou Barris,54,Torre Baró,201 a 250 cc,18
2013,8,Nou Barris,55,Ciutat Meridiana,201 a 250 cc,34
2013,8,Nou Barris,56,Vallbona,201 a 250 cc,9
2013,9,Sant Andreu,57,la Trinitat Vella,201 a 250 cc,58
2013,9,Sant Andreu,58,Baró de Viver,201 a 250 cc,13
2013,9,Sant Andreu,59,el Bon Pastor,201 a 250 cc,87
2013,9,Sant Andreu,60,Sant Andreu,201 a 250 cc,498
2013,9,Sant Andreu,61,la Sagrera,201 a 250 cc,206
2013,9,Sant Andreu,62,el Congrés i els Indians,201 a 250 cc,110
2013,9,Sant Andreu,63,Navas,201 a 250 cc,208
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,201 a 250 cc,348
2013,10,Sant Martí,65,el Clot,201 a 250 cc,235
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,201 a 250 cc,138
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,201 a 250 cc,131
2013,10,Sant Martí,68,el Poblenou,201 a 250 cc,266
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,201 a 250 cc,137
2013,10,Sant Martí,70,el Besòs i el Maresme,201 a 250 cc,98
2013,10,Sant Martí,71,Provençals del Poblenou,201 a 250 cc,158
2013,10,Sant Martí,72,Sant Martí de Provençals,201 a 250 cc,224
2013,10,Sant Martí,73,la Verneda i la Pau,201 a 250 cc,217
2013,99,No consta,99,No consta,201 a 250 cc,257
2013,1,Ciutat Vella,1,el Raval,251 a 300 cc,78
2013,1,Ciutat Vella,2,el Barri Gòtic,251 a 300 cc,68
2013,1,Ciutat Vella,3,la Barceloneta,251 a 300 cc,46
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",251 a 300 cc,75
2013,2,Eixample,5,el Fort Pienc,251 a 300 cc,105
2013,2,Eixample,6,la Sagrada Família,251 a 300 cc,181
2013,2,Eixample,7,la Dreta de l'Eixample,251 a 300 cc,297
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,251 a 300 cc,242
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,251 a 300 cc,279
2013,2,Eixample,10,Sant Antoni,251 a 300 cc,123
2013,3,Sants-Montjuïc,11,el Poble Sec,251 a 300 cc,107
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,251 a 300 cc,11
2013,3,Sants-Montjuïc,13,la Marina de Port,251 a 300 cc,90
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,251 a 300 cc,36
2013,3,Sants-Montjuïc,15,Hostafrancs,251 a 300 cc,48
2013,3,Sants-Montjuïc,16,la Bordeta,251 a 300 cc,42
2013,3,Sants-Montjuïc,17,Sants - Badal,251 a 300 cc,72
2013,3,Sants-Montjuïc,18,Sants,251 a 300 cc,157
2013,4,Les Corts,19,les Corts,251 a 300 cc,310
2013,4,Les Corts,20,la Maternitat i Sant Ramon,251 a 300 cc,153
2013,4,Les Corts,21,Pedralbes,251 a 300 cc,162
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",251 a 300 cc,40
2013,5,Sarrià-Sant Gervasi,23,Sarrià,251 a 300 cc,306
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,251 a 300 cc,243
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,251 a 300 cc,282
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,251 a 300 cc,646
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,251 a 300 cc,246
2013,6,Gràcia,28,Vallcarca i els Penitents,251 a 300 cc,112
2013,6,Gràcia,29,el Coll,251 a 300 cc,50
2013,6,Gràcia,30,la Salut,251 a 300 cc,80
2013,6,Gràcia,31,la Vila de Gràcia,251 a 300 cc,221
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,251 a 300 cc,173
